work_year,job_title,job_category,salary_in_usd,experience_level,company_location
2023,Data Analyst,Data Analysis,131000,Mid-level,United States
2023,Data Architect,Data Architecture and Modeling,104584,Senior,United Kingdom
2023,Data Architect,Data Architecture and Modeling,92280,Senior,United Kingdom
2023,Data Analyst,Data Analysis,192000,Senior,United States
2023,Data Analyst,Data Analysis,164000,Senior,United States
2023,Data Scientist,Data Science and Research,223800,Senior,United States
2023,Data Scientist,Data Science and Research,172100,Senior,United States
2023,Applied Scientist,Data Science and Research,258800,Senior,United States
2023,Applied Scientist,Data Science and Research,199200,Senior,United States
2023,Research Engineer,Data Science and Research,185000,Senior,United States
2023,Research Engineer,Data Science and Research,148000,Senior,United States
2023,Machine Learning Engineer,Machine Learning and AI,193600,Senior,United States
2023,Machine Learning Engineer,Machine Learning and AI,119700,Senior,United States
2023,Data Scientist,Data Science and Research,175750,Senior,United States
2023,Data Scientist,Data Science and Research,136742,Senior,United States
2023,Research Engineer,Data Science and Research,257400,Mid-level,United States
2023,Research Engineer,Data Science and Research,193500,Mid-level,United States
2023,Data Scientist,Data Science and Research,228856,Senior,United States
2023,Data Scientist,Data Science and Research,144540,Senior,United States
2023,Data Architect,Data Architecture and Modeling,140000,Senior,United States
2023,Data Scientist,Data Science and Research,155000,Senior,United States
2023,Data Scientist,Data Science and Research,125000,Senior,United States
2023,Data Engineer,Data Engineering,150600,Senior,United States
2023,Data Engineer,Data Engineering,120500,Senior,United States
2023,Data Scientist,Data Science and Research,176000,Senior,United States
2023,Analytics Engineer,Leadership and Management,200000,Senior,United States
2023,Data Strategist,Data Architecture and Modeling,115500,Mid-level,United States
2023,Data Strategist,Data Architecture and Modeling,73500,Mid-level,United States
2023,Data Engineer,Data Engineering,135344,Executive,United Kingdom
2023,Data Engineer,Data Engineering,98432,Executive,United Kingdom
2023,Data Scientist,Data Science and Research,225000,Senior,United States
2023,Data Scientist,Data Science and Research,172758,Senior,United States
2023,Research Engineer,Data Science and Research,86128,Mid-level,United Kingdom
2023,Research Engineer,Data Science and Research,67672,Mid-level,United Kingdom
2023,Insight Analyst,Data Analysis,51676,Mid-level,United Kingdom
2023,Insight Analyst,Data Analysis,43064,Mid-level,United Kingdom
2023,Data Engineer,Data Engineering,245000,Senior,United States
2023,Data Engineer,Data Engineering,194992,Senior,United States
2023,Data Scientist,Data Science and Research,140000,Mid-level,United States
2023,Machine Learning Engineer,Machine Learning and AI,213800,Senior,United States
2023,Machine Learning Engineer,Machine Learning and AI,180300,Senior,United States
2023,Director of Data Science,Data Science and Research,375500,Executive,United States
2023,Director of Data Science,Data Science and Research,250300,Executive,United States
2023,ML Engineer,Machine Learning and AI,262269,Senior,United States
2023,ML Engineer,Machine Learning and AI,230797,Senior,United States
2023,Data Engineer,Data Engineering,147100,Mid-level,United States
2023,Data Engineer,Data Engineering,90700,Mid-level,United States
2023,Machine Learning Infrastructure Engineer,Machine Learning and AI,185000,Senior,United States
2023,Machine Learning Infrastructure Engineer,Machine Learning and AI,145000,Senior,United States
2023,Data Analyst,Data Analysis,123040,Senior,United Kingdom
2023,Data Analyst,Data Analysis,92280,Senior,United Kingdom
2023,BI Developer,BI and Visualization,98432,Senior,United Kingdom
2023,BI Developer,BI and Visualization,62442,Senior,United Kingdom
2023,Data Scientist,Data Science and Research,90000,Mid-level,United States
2023,Data Analyst,Data Analysis,195000,Senior,United States
2023,Data Analyst,Data Analysis,73500,Senior,United States
2023,Data Infrastructure Engineer,Data Engineering,185000,Senior,United States
2023,Data Infrastructure Engineer,Data Engineering,145000,Senior,United States
2023,Machine Learning Infrastructure Engineer,Machine Learning and AI,158900,Senior,United States
2023,Machine Learning Infrastructure Engineer,Machine Learning and AI,132400,Senior,United States
2023,AI Engineer,Machine Learning and AI,140000,Mid-level,United States
2023,Data Manager,Leadership and Management,130000,Mid-level,United States
2023,Data Manager,Leadership and Management,100000,Mid-level,United States
2023,Machine Learning Scientist,Machine Learning and AI,163800,Senior,United States
2023,Machine Learning Scientist,Machine Learning and AI,126000,Senior,United States
2023,Data Scientist,Data Science and Research,111967,Senior,United States
2023,Data Analyst,Data Analysis,88000,Mid-level,United States
2023,Data Engineer,Data Engineering,216027,Senior,United States
2023,Data Engineer,Data Engineering,101028,Senior,United States
2023,Applied Scientist,Data Science and Research,309400,Senior,United States
2023,Applied Scientist,Data Science and Research,159100,Senior,United States
2023,Data Engineer,Data Engineering,174350,Senior,United States
2023,Data Engineer,Data Engineering,126800,Senior,United States
